Alternative Metal,Mad,0.00,0.02
Big Beat,Mad,0.02,0.07
Black Metal,Mad,0.07,0.11
Breakbeat,Mad,0.11,0.13
Crunk,Mad,0.13,0.17
Doom Metal,Mad,0.17,0.21
Drum and Bass,Mad,0.21,0.31
Dubstep,Mad,0.31,0.39
Hard Rock,Mad,0.39,0.47
Hardcore,Mad,0.47,0.54
Industrial Metal,Mad,0.54,0.60
Metal,Mad,0.60,0.69
Nu Metal,Mad,0.69,0.70
Power Metal,Mad,0.70,0.74
Progressive Metal,Mad,0.74,0.78
Punk,Mad,0.78,0.87
Rap-Metal,Mad,0.87,0.91
Rock,Mad,0.91,0.92
Techno,Mad,0.92,0.96
Thrash Metal,Mad,0.96,1.00
Alternative Metal,anger,0.00,0.03
Big Beat,anger,0.03,0.09
Black Metal,anger,0.09,0.11
Breakbeat,anger,0.11,0.17
Crunk,anger,0.17,0.18
Doom Metal,anger,0.18,0.20
Drum and Bass,anger,0.20,0.28
Dubstep,anger,0.28,0.36
Garage Rock,anger,0.36,0.42
Gothic Rock,anger,0.42,0.48
Hardcore,anger,0.48,0.51
Hyphy,anger,0.51,0.52
Industrial Metal,anger,0.52,0.54
Metal,anger,0.54,0.66
Nerdcore,anger,0.66,0.71
Nu Metal,anger,0.71,0.75
Power Metal,anger,0.75,0.77
Progressive Metal,anger,0.77,0.79
Punk,anger,0.79,0.84
Rap-Metal,anger,0.84,0.86
Rock,anger,0.86,0.89
Techno,anger,0.89,0.98
Thrash Metal,anger,0.98,1.00
Acid Jazz,sadness,0.00,0.01
Acoustic Blues,sadness,0.01,0.04
Alternative Country,sadness,0.04,0.06
Bebop,sadness,0.06,0.07
Blues,sadness,0.07,0.15
Blues Rock,sadness,0.15,0.16
Breakbeat,sadness,0.16,0.19
Cajun,sadness,0.19,0.22
Classic Rock,sadness,0.22,0.27
Classical,sadness,0.27,0.37
Country Blues,sadness,0.37,0.38
Country Swing,sadness,0.38,0.40
Deep House,sadness,0.40,0.44
Dubstep,sadness,0.44,0.47
Electric Blues,sadness,0.47,0.50
Emo,sadness,0.50,0.53
Free Jazz,sadness,0.53,0.54
Garage Rock,sadness,0.54,0.59
Gothic Rock,sadness,0.59,0.62
Jazz,sadness,0.62,0.72
Jazz Fusion,sadness,0.72,0.73
Jump Blues,sadness,0.73,0.74
Neo-Soul,sadness,0.74,0.77
Nu Jazz,sadness,0.77,0.78
Rock,sadness,0.78,0.88
Smooth Jazz,sadness,0.88,0.89
Soul,sadness,0.89,0.99
Swing,sadness,0.99,1.00
Acid Jazz,Sleepy,0.00,0.01
Acoustic Blues,Sleepy,0.01,0.05
Alternative Country,Sleepy,0.05,0.08
Ambient,Sleepy,0.08,0.17
Bebop,Sleepy,0.17,0.18
Blues,Sleepy,0.18,0.30
Bossa Nova,Sleepy,0.30,0.33
Cajun,Sleepy,0.33,0.36
Classical,Sleepy,0.36,0.43
Country Swing,Sleepy,0.43,0.46
Emo,Sleepy,0.46,0.49
Free Jazz,Sleepy,0.49,0.50
Jazz,Sleepy,0.50,0.62
Jazz Fusion,Sleepy,0.62,0.63
Jump Blues,Sleepy,0.63,0.67
Mariachi,Sleepy,0.67,0.70
Merengue,Sleepy,0.70,0.73
Native American,Sleepy,0.73,0.75
Neo-Soul,Sleepy,0.75,0.78
New Age,Sleepy,0.78,0.80
Samba,Sleepy,0.80,0.83
Smooth Jazz,Sleepy,0.83,0.84
Soul,Sleepy,0.84,0.96
Swing,Sleepy,0.96,0.97
Tango,Sleepy,0.97,1.00
Alternative Country,neutral,0.00,0.03
Ambient,neutral,0.03,0.06
Big Beat,neutral,0.06,0.08
Blues,neutral,0.08,0.15
Blues Rock,neutral,0.15,0.16
Breakbeat,neutral,0.16,0.18
Cajun,neutral,0.18,0.21
Classical,neutral,0.21,0.28
Country,neutral,0.28,0.29
Country Swing,neutral,0.29,0.32
Deep House,neutral,0.32,0.39
Dubstep,neutral,0.39,0.41
Electronic,neutral,0.41,0.42
Electronica,neutral,0.42,0.44
Folk,neutral,0.44,0.45
Funk,neutral,0.45,0.48
Garage Rock,neutral,0.48,0.51
Gothic Rock,neutral,0.51,0.54
HipHop,neutral,0.54,0.55
